競馬場,競走年月日,レース番号,発走時刻,競走種類名称,レース名,副賞名1,副賞名2,副賞名3,副賞名4,副賞名5,副賞名6,副賞名7,副賞名8,副賞名9,副賞名10,副賞名11,副賞名12,副賞名13,副賞名14,副賞名15,芝ダート区分,回り,距離,天候,馬場,頭数,条件,1着賞金(円),2着賞金(円),3着賞金(円),4着賞金(円),5着賞金(円),上がり4F,上がり3F,ハロンタイム1,ハロンタイム2,ハロンタイム3,ハロンタイム4,ハロンタイム5,ハロンタイム6,ハロンタイム7,ハロンタイム8,ハロンタイム9,ハロンタイム10,ハロンタイム11,ハロンタイム12,ハロンタイム13,ハロンタイム14,ハロンタイム15,コーナー名称1,コーナー名称2,コーナー名称3,コーナー名称4,コーナー名称5,コーナー名称6,コーナー名称7,コーナー名称8,コーナー通過順1,コーナー通過順2,コーナー通過順3,コーナー通過順4,コーナー通過順5,コーナー通過順6,コーナー通過順7,コーナー通過順8
帯広ば,20260502,1,1440,普通,ひろちゃんばんえい参上記念Ｃ２－１６,,,,,,,,,,,,,,,,,直,200,晴,3.0,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,2,1510,普通,ひまわり温泉　ボイラー復活Ｃ２－１４,,,,,,,,,,,,,,,,,直,200,晴,3.0,9,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,3,1540,普通,青森中泊愛馬会馬力大会Ｃ２－１,,,,,,,,,,,,,,,,,直,200,晴,2.9,10,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,4,1615,普通,Ｓさんお誕生日記念Ｃ１－７,,,,,,,,,,,,,,,,,直,200,晴,2.9,8,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,5,1650,普通,森町桜まつりばんば競技大会Ｃ１－５,,,,,,,,,,,,,,,,,直,200,晴,2.9,8,"混合　３歳以上 規定",300000,111000,63000,33000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,6,1725,普通,２歳の海宇君☆毎日激走記念Ｂ４－９,,,,,,,,,,,,,,,,,直,200,晴,2.9,9,"混合　３歳以上 規定",330000,122000,69000,36000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,7,1755,普通,佐藤璃果さん卒業記念Ｂ３－６,,,,,,,,,,,,,,,,,直,200,晴,2.8,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,8,1825,普通,乃空も一緒に走ってこーいＢ３－５,,,,,,,,,,,,,,,,,直,200,晴,2.8,9,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,9,1855,普通,荒井所長　やっと来たよーＢ３－３,,,,,,,,,,,,,,,,,直,200,晴,2.7,10,"混合　３歳以上 規定",340000,125000,71000,37000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帯広ば,20260502,10,1925,普通,さやちゃんいつもありがとうＢ２－２,,,,,,,,,,,,,,,,,直,200,晴,2.7,8,"混合　３歳以上 規定",420000,155000,88000,46000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
