競馬場,競走年月日,レース番号,枠番,帽色,馬番,馬名,性,齢,毛色,生年月日,父馬名,母馬名,母父馬名,騎手名,騎手所属,負担重量,騎手成績,調教師,調教師所属,馬主氏名,生産牧場名,馬体重,馬体重増減,全成績,ダート左成績,ダート右成績,当競馬場成績,うち当距離成績,最高タイム,最高タイム良馬場,着順,タイム,着差,上がり3F,人気
帯広ば,20260502,1,1,白,1,ツガルノキンヒメ,牝,3,栗粕毛,20230325,ニシキエーカン,第二泉,グレートエンペラー,中原蓮,ばんえい,☆540,0-0-0-1,今井茂,ばんえい,葛西一郎,山本信達,974,+11,2-2-1-16,,,2-2-1-16,2-2-1-16,1:34.0,良1:46.6,5,2159,,,8
帯広ば,20260502,1,2,黒,2,ジェイレディ,牝,3,青毛,20230428,ジェイワン,ジェイガーベラ,ミスタートカチ,阿部優,ばんえい,☆540,0-0-0-4,松井浩,ばんえい,小森唯永,小森唯永,902,+2,2-0-2-18,,,2-0-2-18,2-0-2-18,1:33.7,良1:52.6,4,2116,,,7
帯広ば,20260502,1,3,赤,3,マツノゴウリキ,牝,3,鹿毛,20230401,マルニセンプー,野桜姫,キタノコウテイ,長澤幸,ばんえい,550,0-0-0-3,小北栄,ばんえい,小松達也,北村節子,837,+15,3-0-0-15,,,3-0-0-15,3-0-0-15,1:56.2,良1:56.2,7,2281,,,5
帯広ば,20260502,1,4,青,4,ヒメトラダイア,牝,3,青毛,20230326,コウシュハウンカイ,サトクィーン,ニシキダイジン,西謙一,ばんえい,550,1-3-3-14,大友人,ばんえい,秋田忍,堂場聰志,949,,1-3-3-15,,,1-3-3-15,1-3-3-15,1:37.3,良2:03.2,8,2373,,,3
帯広ば,20260502,1,5,黄,5,テツオ,牡,3,鹿毛,20230514,サカノテツワン,キタノミレン,コジロウスペシャル,今井千,ばんえい,☆560,0-1-0-3,藤野俊,ばんえい,大熊金八,出村孝光,944,-3,0-5-3-10,,,0-5-3-10,0-5-3-10,1:43.5,良1:43.5,3,2107,,,1
帯広ば,20260502,1,6,緑,6,イワキハルヒメ,牝,3,青毛,20230328,アサヒリュウセイ,"初 姫",ハイパービート,赤塚健,ばんえい,550,3-0-0-18,大河和,ばんえい,蝦名豊,加藤俊幸,894,-8,3-0-0-19,,,3-0-0-19,3-0-0-19,1:20.8,良2:00.8,6,2254,,,2
帯広ば,20260502,1,7,橙,7,グローリースター,牡,3,栗毛,20230429,ホクショウユヅル,グローレンス,インフィニティー,渡来心,ばんえい,570,0-1-0-0,今井茂,ばんえい,細谷靖幸,（株）メグミファーム,934,,2-1-3-11,,,2-1-3-11,2-1-3-11,1:41.4,良1:42.0,1,2064,,,9
帯広ば,20260502,1,8,桃,8,サクラセイリュウ,牝,3,青毛,20230314,ブラックシシ,ハクサンダイヤ,トウリュウ,中村太,ばんえい,550,1-2-0-9,小林長,ばんえい,渡邊悟,（株）帯広有機,976,-16,2-3-0-13,,,2-3-0-13,2-3-0-13,1:47.7,良1:49.8,9,2530,,,6
帯広ば,20260502,1,8,桃,9,サッコノオトウト,牡,3,青毛,20230518,ブラックシシ,ユングフラウ,スミヨシセンショー,船山蔵,ばんえい,570,0-2-1-8,鈴木邦,ばんえい,齋藤修,（株）帯広有機,909,,1-3-1-16,,,1-3-1-16,1-3-1-16,1:43.0,良1:43.0,2,2073,,,4
帯広ば,20260502,2,1,白,1,サカノオオオク,牝,4,鹿毛,20220503,キタノリュウキ,桜,グレイトアマゾン,船山蔵,ばんえい,550,0-0-0-0,田上忠,ばんえい,（株）大阪畜産,川田徳延,989,+35,4-0-1-12,,,4-0-1-12,4-0-1-12,2:09.2,良2:09.2,1,2091,,,9
帯広ば,20260502,2,2,黒,2,ホクセイジュリア,牝,3,鹿毛,20230410,フウジンライデン,カミウラレデイー,エアードリーム,中村太,ばんえい,550,1-2-0-3,今井茂,ばんえい,（株）北西ファーム,廣川健二,936,+3,3-2-0-7,,,3-2-0-7,3-2-0-7,1:17.6,良1:44.7,9,2418,,,7
帯広ば,20260502,2,3,赤,3,ダイコウシン,牡,3,青毛,20230306,ニホンイチ,エビータ,カゲシュウホー,西将太,ばんえい,570,1-2-0-4,鈴木邦,ばんえい,鈴木治子,（株）帯広有機,934,+6,2-2-1-18,,,2-2-1-18,2-2-1-18,1:35.8,良2:38.1,4,2216,,,3
帯広ば,20260502,2,4,青,4,ガオノチカラ,牡,3,青毛,20230420,フジダイビクトリー,ライデンハート,カゲシュウホー,長澤幸,ばんえい,570,1-0-0-3,小北栄,ばんえい,赤麿秀人,（株）金福畜産,976,+13,3-0-3-16,,,3-0-3-16,3-0-3-16,1:38.3,良1:51.2,7,2263,,,4
帯広ば,20260502,2,5,黄,5,ハートエース,牡,3,栗毛,20230506,ホリセンショウ,"初 姫",クリフジ,島津新,ばんえい,570,2-1-2-12,岩本利,ばんえい,川口晋司,互野居衣夫,972,+12,2-2-2-17,,,2-2-2-17,2-2-2-17,1:33.7,良2:32.8,8,2339,,,8
帯広ば,20260502,2,6,緑,6,ツガルファイター,牝,3,青毛,20230228,ホリセンショウ,"万 怱","芯 情",赤塚健,ばんえい,550,0-0-0-7,久田守,ばんえい,葛西徹哉,樫野元一,894,+11,2-2-3-15,,,2-2-3-15,2-2-3-15,1:42.5,良1:42.5,6,2255,,,6
帯広ば,20260502,2,7,橙,7,フェアリーマーチ,牝,3,鹿毛,20230211,ホリセンショウ,"将 美",キングファラオ,阿部武,ばんえい,550,0-0-1-6,坂本東,ばんえい,日野貴,樫野元一,915,-1,1-1-2-18,,,1-1-2-18,1-1-2-18,1:33.0,良1:57.9,2,2124,,,2
帯広ば,20260502,2,8,桃,8,ジェイワンダー,牡,3,鹿毛,20230403,フジカチドキ,ツルノジョウオー,エビスオウジャ,大友一,ばんえい,☆560,0-0-0-0,松田道,ばんえい,小森唯永,松井紀行,966,+6,2-1-5-14,,,2-1-5-14,2-1-5-14,1:35.1,良1:58.2,3,2139,,,5
帯広ば,20260502,2,8,桃,9,カイロルーラー,牝,3,青毛,20230325,コウシュハウンカイ,彩香姫,アローファイター,西謙一,ばんえい,550,0-1-2-5,西弘美,ばんえい,小向翔太,和田智志,881,-3,1-4-2-12,,,1-4-2-12,1-4-2-12,1:36.8,良1:43.7,5,2244,,,1
帯広ば,20260502,3,1,白,1,シンザンオーザン,牡,3,鹿毛,20230430,レットダイヤ,シンエイオマタセ,ウンカイ,臼杵龍,ばんえい,☆560,0-0-0-0,長部幸,ばんえい,新山正一郎,永井和弘,1040,+9,3-4-1-14,,,3-4-1-14,3-4-1-14,1:45.4,良2:09.2,4,1551,,,3
帯広ば,20260502,3,2,黒,2,エムトップ,牡,3,青毛,20230417,コウシュハウンカイ,キタミハナグッド,コトノカツマ,金田利,ばんえい,570,1-2-1-5,金田勇,ばんえい,山口正行,國田悦司,1010,+19,3-3-1-11,,,3-3-1-11,3-3-1-11,1:38.6,良2:03.0,7,2047,,,4
帯広ば,20260502,3,3,赤,3,タカラエビス,牡,4,鹿毛,20220422,オホーツクノタカラ,タイキン,ヤマノミント,西将太,ばんえい,570,2-3-3-7,大橋和,ばんえい,小倉たまき,小倉たまき,994,+4,2-3-4-7,,,2-3-4-7,2-3-4-7,1:53.9,良2:13.6,6,2035,,,5
帯広ば,20260502,3,4,青,4,ホクセイシンノスケ,牡,3,鹿毛,20230308,フジダイビクトリー,ワタシハヒマワリ,ミタコトナイ,島津新,ばんえい,570,4-0-0-5,林　豊,ばんえい,（株）北西ファーム,（株）キューサンファーム,866,-10,4-0-1-12,,,4-0-1-12,4-0-1-12,1:36.7,良1:54.5,8,2088,,,7
