競馬場,競走年月日,レース番号,レース名,単勝組番,単勝払戻金（円）,単勝人気,複勝組番1,複勝払戻金1（円）,複勝人気1,複勝組番2,複勝払戻金2（円）,複勝人気2,複勝組番3,複勝払戻金3（円）,複勝人気3,枠複組番1,枠複組番2,枠複払戻金（円）,枠複人気,枠単組番1,枠単組番2,枠単払戻金（円）,枠単人気,馬複組番1,馬複組番2,馬複払戻金（円）,馬複人気1,馬単組番1,馬単組番2,馬単払戻金（円）,馬単人気1,ワイド組番1馬番1,ワイド組番1馬番2,ワイド払戻金1（円）,ワイド人気1,ワイド組番2馬番1,ワイド組番2馬番2,ワイド払戻金2（円）,ワイド人気2,ワイド組番3馬番1,ワイド組番3馬番2,ワイド払戻金3（円）,ワイド人気3,３連複組番馬番1,３連複組番馬番2,３連複組番馬番3,３連複払戻金（円）,３連複人気,３連単組番馬番1,３連単組番馬番2,３連単組番馬番3,３連単払戻金（円）,３連単人気
帯広ば,20260502,1,ひろちゃんばんえい参上記念Ｃ２－１６,7,2490,9,7,470,9,9,290,6,5,120,1,7,8,3620,13,,,,,7,9,8810,28,7,9,26850,59,7,9,1750,26,5,7,590,8,5,9,320,3,5,7,9,4900,21,7,9,5,64290,205
帯広ば,20260502,2,ひまわり温泉　ボイラー復活Ｃ２－１４,1,3010,9,1,790,9,7,150,1,8,290,5,1,7,4690,18,,,,,1,7,8320,28,1,7,16480,55,1,7,2500,31,1,8,2230,30,7,8,520,6,1,7,8,9980,42,1,7,8,80560,303
帯広ば,20260502,3,青森中泊愛馬会馬力大会Ｃ２－１,6,350,2,6,170,3,7,160,2,5,190,4,6,7,460,1,,,,,6,7,440,1,6,7,920,2,6,7,260,1,5,6,500,7,5,7,490,6,5,6,7,1040,3,6,7,5,3870,4
帯広ば,20260502,4,Ｓさんお誕生日記念Ｃ１－７,3,810,7,3,240,7,6,140,1,5,200,5,,,,,,,,,3,6,1630,6,3,6,3340,15,3,6,550,7,3,5,720,18,5,6,330,2,3,5,6,2470,10,3,6,5,20760,98
帯広ば,20260502,5,森町桜まつりばんば競技大会Ｃ１－５,5,180,1,5,110,1,2,140,2,6,220,6,,,,,,,,,2,5,450,1,5,2,600,1,2,5,200,1,5,6,380,5,2,6,710,13,2,5,6,1400,7,5,2,6,4230,8
帯広ば,20260502,6,２歳の海宇君☆毎日激走記念Ｂ４－９,7,280,2,7,110,1,1,130,2,8,130,3,1,7,410,2,,,,,1,7,440,1,7,1,880,1,1,7,240,2,7,8,230,1,1,8,370,5,1,7,8,670,1,7,1,8,3110,2
帯広ば,20260502,7,佐藤璃果さん卒業記念Ｂ３－６,9,4650,8,9,2020,9,4,240,4,6,450,7,4,8,4300,20,,,,,4,9,24410,34,9,4,48320,67,4,9,6410,35,6,9,4000,31,4,6,1050,16,4,6,9,48580,78,9,4,6,321500,449
帯広ば,20260502,8,乃空も一緒に走ってこーいＢ３－５,2,240,1,2,120,1,9,140,2,5,170,4,2,8,410,1,,,,,2,9,990,4,2,9,2110,8,2,9,330,4,2,5,270,2,5,9,440,7,2,5,9,1600,4,2,9,5,9000,21
帯広ば,20260502,9,荒井所長　やっと来たよーＢ３－３,7,160,1,7,110,1,4,190,3,1,540,8,4,7,720,4,,,,,4,7,640,3,7,4,1030,3,4,7,380,3,1,7,1970,23,1,4,4920,39,1,4,7,10910,35,7,4,1,27470,85
帯広ば,20260502,10,さやちゃんいつもありがとうＢ２－２,6,220,1,6,110,1,4,200,5,7,120,2,,,,,,,,,4,6,1740,6,6,4,3420,12,4,6,470,8,6,7,140,1,4,7,460,7,4,6,7,930,3,6,4,7,5960,18
帯広ば,20260502,11,春雨特別オープン・Ａ１混合,6,680,4,6,200,3,5,200,4,1,170,2,,,,,,,,,5,6,1340,5,6,5,2280,8,5,6,470,7,1,6,430,5,1,5,550,8,1,5,6,1880,7,6,5,1,9170,32
帯広ば,20260502,12,Ｂ４－１・２決勝,4,830,5,4,210,4,7,180,3,1,140,2,4,7,2270,13,,,,,4,7,2530,14,4,7,4900,23,4,7,730,11,1,4,300,2,1,7,240,1,1,4,7,1820,3,4,7,1,14710,41
帯広ば,20260503,1,みずちゃんハピバ杯Ｃ２－１０,3,400,2,3,150,2,8,140,1,6,210,5,3,8,470,1,,,,,3,8,460,1,3,8,940,2,3,8,240,1,3,6,670,11,6,8,430,5,3,6,8,920,2,3,8,6,5450,9
