id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
keirin-2026-05-01-83,keirin,久留米競輪場,福岡県,15:00,21:00,,2026-05-01,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,久留米競輪場の公式発表もあわせて確認してください。
keirin-2026-05-01-23,keirin,取手競輪場,茨城県,10:30,16:30,,2026-05-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,取手競輪場の公式発表もあわせて確認してください。
keirin-2026-05-01-75,keirin,松山競輪場,愛媛県,15:00,21:00,,2026-05-01,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,松山競輪場の公式発表もあわせて確認してください。
keirin-2026-05-01-26,keirin,西武園競輪場,埼玉県,15:00,21:00,,2026-05-01,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,西武園競輪場の公式発表もあわせて確認してください。
keirin-2026-05-01-53,keirin,奈良競輪場,奈良県,10:30,16:30,,2026-05-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,奈良競輪場の公式発表もあわせて確認してください。
keirin-2026-05-01-11,keirin,函館競輪場,北海道,10:30,16:30,,2026-05-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,函館競輪場の公式発表もあわせて確認してください。
keirin-2026-05-01-46,keirin,富山競輪場,富山県,10:30,16:30,,2026-05-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,富山競輪場の公式発表もあわせて確認してください。
keirin-2026-05-01-35,keirin,平塚競輪場,神奈川県,10:30,16:30,,2026-05-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。G1 / 通常開催想定,平塚競輪場の公式発表もあわせて確認してください。
keirin-2026-05-01-63,keirin,防府競輪場,山口県,10:30,16:30,,2026-05-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,防府競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-83,keirin,久留米競輪場,福岡県,15:00,21:00,,2026-05-02,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,久留米競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-23,keirin,取手競輪場,茨城県,10:30,16:30,,2026-05-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,取手競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-75,keirin,松山競輪場,愛媛県,15:00,21:00,,2026-05-02,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,松山競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-26,keirin,西武園競輪場,埼玉県,15:00,21:00,,2026-05-02,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,西武園競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-53,keirin,奈良競輪場,奈良県,10:30,16:30,,2026-05-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,奈良競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-11,keirin,函館競輪場,北海道,10:30,16:30,,2026-05-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,函館競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-46,keirin,富山競輪場,富山県,10:30,16:30,,2026-05-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,富山競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-35,keirin,平塚競輪場,神奈川県,10:30,16:30,,2026-05-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。G1 / 通常開催想定,平塚競輪場の公式発表もあわせて確認してください。
keirin-2026-05-02-63,keirin,防府競輪場,山口県,10:30,16:30,,2026-05-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,防府競輪場の公式発表もあわせて確認してください。
keirin-2026-05-03-83,keirin,久留米競輪場,福岡県,15:00,21:00,,2026-05-03,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,久留米競輪場の公式発表もあわせて確認してください。
keirin-2026-05-03-27,keirin,京王閣競輪場,東京都,10:30,16:30,,2026-05-03,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,京王閣競輪場の公式発表もあわせて確認してください。
keirin-2026-05-03-75,keirin,松山競輪場,愛媛県,15:00,21:00,,2026-05-03,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,松山競輪場の公式発表もあわせて確認してください。
keirin-2026-05-03-26,keirin,西武園競輪場,埼玉県,15:00,21:00,,2026-05-03,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,西武園競輪場の公式発表もあわせて確認してください。
keirin-2026-05-03-53,keirin,奈良競輪場,奈良県,10:30,16:30,,2026-05-03,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,奈良競輪場の公式発表もあわせて確認してください。
