id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
keirin-2026-06-01-24,keirin,宇都宮競輪場,栃木県,10:30,16:30,,2026-06-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。G3 / 通常開催想定,宇都宮競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-56,keirin,岸和田競輪場,大阪府,15:00,21:00,,2026-06-01,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,岸和田競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-74,keirin,高知競輪場,高知県,15:00,21:00,,2026-06-01,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,高知競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-36,keirin,小田原競輪場,神奈川県,10:30,16:30,,2026-06-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,小田原競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-31,keirin,松戸競輪場,千葉県,10:30,16:30,,2026-06-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,松戸競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-38,keirin,静岡競輪場,静岡県,15:00,21:00,,2026-06-01,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,静岡競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-11,keirin,函館競輪場,北海道,10:30,16:30,,2026-06-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,函館競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-86,keirin,別府競輪場,大分県,10:30,16:30,,2026-06-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,別府競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-42,keirin,名古屋競輪場,愛知県,10:30,16:30,,2026-06-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,名古屋競輪場の公式発表もあわせて確認してください。
keirin-2026-06-01-55,keirin,和歌山競輪場,和歌山県,10:30,16:30,,2026-06-01,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,和歌山競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-24,keirin,宇都宮競輪場,栃木県,10:30,16:30,,2026-06-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。G3 / 通常開催想定,宇都宮競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-56,keirin,岸和田競輪場,大阪府,15:00,21:00,,2026-06-02,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,岸和田競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-74,keirin,高知競輪場,高知県,15:00,21:00,,2026-06-02,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,高知競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-36,keirin,小田原競輪場,神奈川県,10:30,16:30,,2026-06-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,小田原競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-31,keirin,松戸競輪場,千葉県,10:30,16:30,,2026-06-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,松戸競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-12,keirin,青森競輪場,青森県,10:30,16:30,,2026-06-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,青森競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-38,keirin,静岡競輪場,静岡県,15:00,21:00,,2026-06-02,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,静岡競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-86,keirin,別府競輪場,大分県,10:30,16:30,,2026-06-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,別府競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-42,keirin,名古屋競輪場,愛知県,10:30,16:30,,2026-06-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,名古屋競輪場の公式発表もあわせて確認してください。
keirin-2026-06-02-55,keirin,和歌山競輪場,和歌山県,10:30,16:30,,2026-06-02,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,和歌山競輪場の公式発表もあわせて確認してください。
keirin-2026-06-03-12,keirin,青森競輪場,青森県,10:30,16:30,,2026-06-03,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,青森競輪場の公式発表もあわせて確認してください。
keirin-2026-06-03-22,keirin,前橋競輪場,群馬県,15:00,21:00,,2026-06-03,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,前橋競輪場の公式発表もあわせて確認してください。
keirin-2026-06-03-35,keirin,平塚競輪場,神奈川県,15:00,21:00,,2026-06-03,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,平塚競輪場の公式発表もあわせて確認してください。
keirin-2026-06-03-86,keirin,別府競輪場,大分県,10:30,16:30,,2026-06-03,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,別府競輪場の公式発表もあわせて確認してください。
keirin-2026-06-03-45,keirin,豊橋競輪場,愛知県,15:00,21:00,,2026-06-03,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,豊橋競輪場の公式発表もあわせて確認してください。
keirin-2026-06-03-63,keirin,防府競輪場,山口県,10:30,16:30,,2026-06-03,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,防府競輪場の公式発表もあわせて確認してください。
keirin-2026-06-03-42,keirin,名古屋競輪場,愛知県,10:30,16:30,,2026-06-03,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,名古屋競輪場の公式発表もあわせて確認してください。
keirin-2026-06-03-55,keirin,和歌山競輪場,和歌山県,10:30,16:30,,2026-06-03,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,和歌山競輪場の公式発表もあわせて確認してください。
keirin-2026-06-04-43,keirin,岐阜競輪場,岐阜県,10:30,16:30,,2026-06-04,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F2 / 通常開催想定,岐阜競輪場の公式発表もあわせて確認してください。
keirin-2026-06-04-83,keirin,久留米競輪場,福岡県,10:30,16:30,,2026-06-04,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。G3 / 通常開催想定,久留米競輪場の公式発表もあわせて確認してください。
keirin-2026-06-04-12,keirin,青森競輪場,青森県,10:30,16:30,,2026-06-04,https://www.keirin.jp/,false,KEIRIN.JP公式開催日程から取り込み。F1 / 通常開催想定,青森競輪場の公式発表もあわせて確認してください。
keirin-2026-06-04-22,keirin,前橋競輪場,群馬県,15:00,21:00,,2026-06-04,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,前橋競輪場の公式発表もあわせて確認してください。
keirin-2026-06-04-35,keirin,平塚競輪場,神奈川県,15:00,21:00,,2026-06-04,https://www.keirin.jp/,true,KEIRIN.JP公式開催日程から取り込み。F2 / ナイター想定,平塚競輪場の公式発表もあわせて確認してください。
