id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
local-keiba-2026-05-01-笠松,local-keiba,笠松競馬場,岐阜県,11:10,17:40,,2026-05-01,https://www.kasamatsu-keiba.com/,false,地方競馬公式データから取り込み。代表レース: 笠松町コラボ同時開催中記念３歳６,笠松の公式発表もあわせて確認してください。
local-keiba-2026-05-01-金沢,local-keiba,金沢競馬場,石川県,12:20,19:20,,2026-05-01,https://www.kanazawakeiba.com/,true,地方競馬公式データから取り込み。代表レース: Ｃ１七,金沢の公式発表もあわせて確認してください。
local-keiba-2026-05-01-大井,local-keiba,大井競馬場,東京都,14:30,21:25,,2026-05-01,https://www.tokyocitykeiba.com/,true,地方競馬公式データから取り込み。代表レース: ３歳四 五,大井の公式発表もあわせて確認してください。
local-keiba-2026-05-02-高知,local-keiba,高知競馬場,高知県,15:35,21:25,,2026-05-02,https://www.keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: Ｃ３－６,高知の公式発表もあわせて確認してください。
local-keiba-2026-05-02-佐賀,local-keiba,佐賀競馬場,佐賀県,15:20,21:15,,2026-05-02,https://www.sagakeiba.net/,true,地方競馬公式データから取り込み。代表レース: パドックリニューアル記念３歳－４組,佐賀の公式発表もあわせて確認してください。
local-keiba-2026-05-02-帯広ば,local-keiba,帯広ば競馬場,北海道,14:40,21:05,,2026-05-02,https://banei-keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: ひろちゃんばんえい参上記念Ｃ２－１６,帯広ばの公式発表もあわせて確認してください。
local-keiba-2026-05-03-金沢,local-keiba,金沢競馬場,石川県,12:45,19:35,,2026-05-03,https://www.kanazawakeiba.com/,true,地方競馬公式データから取り込み。代表レース: Ｃ２七,金沢の公式発表もあわせて確認してください。
local-keiba-2026-05-03-高知,local-keiba,高知競馬場,高知県,14:55,21:25,,2026-05-03,https://www.keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: Ｃ２－８,高知の公式発表もあわせて確認してください。
local-keiba-2026-05-03-佐賀,local-keiba,佐賀競馬場,佐賀県,15:50,21:15,,2026-05-03,https://www.sagakeiba.net/,true,地方競馬公式データから取り込み。代表レース: よーらいさん来場記念３歳－５組,佐賀の公式発表もあわせて確認してください。
local-keiba-2026-05-03-帯広ば,local-keiba,帯広ば競馬場,北海道,14:30,21:05,,2026-05-03,https://banei-keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: みずちゃんハピバ杯Ｃ２－１０,帯広ばの公式発表もあわせて確認してください。
local-keiba-2026-05-04-園田,local-keiba,園田競馬場,兵庫県,10:40,17:15,,2026-05-04,https://www.sonoda-himeji.jp/,false,地方競馬公式データから取り込み。代表レース: Ｃ２三４歳以上,園田の公式発表もあわせて確認してください。
local-keiba-2026-05-04-佐賀,local-keiba,佐賀競馬場,佐賀県,15:00,21:15,,2026-05-04,https://www.sagakeiba.net/,true,地方競馬公式データから取り込み。代表レース: ３歳－７組,佐賀の公式発表もあわせて確認してください。
local-keiba-2026-05-04-盛岡,local-keiba,盛岡競馬場,岩手県,12:15,18:50,,2026-05-04,https://www.iwatekeiba.or.jp/,false,地方競馬公式データから取り込み。代表レース: ファーストステップ　２歳　新馬戦,盛岡の公式発表もあわせて確認してください。
local-keiba-2026-05-04-船橋,local-keiba,船橋競馬場,千葉県,14:45,21:25,,2026-05-04,https://www.f-keiba.com/,true,地方競馬公式データから取り込み。代表レース: ３歳二,船橋の公式発表もあわせて確認してください。
local-keiba-2026-05-04-帯広ば,local-keiba,帯広ば競馬場,北海道,14:20,21:05,,2026-05-04,https://banei-keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: 飛花琳＆崇獅　初誕生記念Ｃ２－１５,帯広ばの公式発表もあわせて確認してください。
local-keiba-2026-05-04-名古屋,local-keiba,名古屋競馬場,愛知県,12:25,19:20,,2026-05-04,https://www.nagoyakeiba.com/,true,地方競馬公式データから取り込み。代表レース: グランプリＤＡＹ　オープニング３歳１２,名古屋の公式発表もあわせて確認してください。
