id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
jra-tokyo,jra,東京競馬場,東京都,09:50,16:30,0;6,,https://www.jra.go.jp/,false,中央競馬の主要開催場。,府中本町駅・府中競馬正門前駅が便利
jra-kyoto,jra,京都競馬場,京都府,09:50,16:30,0;6,,https://www.jra.go.jp/,false,関西方面の中央競馬チェック用。,淀駅から徒歩圏
jra-hanshin,jra,阪神競馬場,兵庫県,09:50,16:30,6,,https://www.jra.go.jp/,false,週末開催のサンプル。,仁川駅から徒歩圏
local-oi,local-keiba,大井競馬場,東京都,14:20,20:50,1;2;3;4;5,,https://www.tokyocitykeiba.com/,true,ナイター確認に便利。,大井競馬場前駅が便利
local-monbetsu,local-keiba,門別競馬場,北海道,14:30,20:40,2;3;4,,https://www.hokkaidokeiba.net/,true,ホッカイドウ競馬のサンプル。,車移動前提で確認
local-sonoda,local-keiba,園田競馬場,兵庫県,10:40,17:00,2;3;4,,https://www.sonoda-himeji.jp/,false,平日地方競馬の確認用。,園田駅周辺からアクセス確認
boat-suminoe,boat,ボートレース住之江,大阪府,15:00,20:45,0;2;4;6,,https://www.boatrace-suminoe.jp/,true,ナイター候補として見やすい。,住之江公園駅が便利
boat-heiwajima,boat,ボートレース平和島,東京都,10:30,16:30,1;3;5,,https://www.heiwajima.gr.jp/,false,都内ボート候補。,平和島駅・大森駅からアクセス確認
boat-fukuoka,boat,ボートレース福岡,福岡県,10:20,16:20,0;1;4,,https://www.boatrace-fukuoka.com/,false,福岡方面の候補。,天神エリアからアクセス確認
boat-gamagori,boat,ボートレース蒲郡,愛知県,15:15,20:50,1;3;6,,https://www.gamagori-kyotei.com/,true,ナイター候補。,蒲郡駅周辺からアクセス確認
auto-kawaguchi,auto,川口オートレース場,埼玉県,10:40,16:50,0;3;5,,https://www.kawaguchiauto.jp/,false,首都圏オート候補。,西川口駅・南鳩ヶ谷駅方面を確認
auto-iizuka,auto,飯塚オートレース場,福岡県,19:00,23:30,1;4;6,,https://www.iizuka-auto.jp/,true,ミッドナイト確認用。,夜開催のため帰路も確認
auto-hamamatsu,auto,浜松オートレース場,静岡県,10:30,16:40,2;5,,https://www.hamamatsu-auto.jp/,false,東海方面の候補。,浜松駅方面からアクセス確認
sample-special-2026-05-24,local-keiba,サンプル特別開催場,サンプル県,12:00,18:00,,2026-05-24,https://www.keiba.go.jp/,false,日付指定開催の動作確認用。,サンプルアクセス
