id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
auto-2026-05-01-3,auto,伊勢崎オートレース場,群馬県,14:30,20:50,,2026-05-01,https://autorace.jp/isesaki/,true,AutoRace.JP公式データから取り込み。第51回上毛新聞社杯 / 4/30～5/1 14:30～20:50 / 5/2 14:30～21:00,伊勢崎オートレース場の公式発表もあわせて確認してください。
auto-2026-05-01-6,auto,山陽オートレース場,山口県,10:25,16:55,,2026-05-01,https://autorace.jp/sanyou/,false,AutoRace.JP公式データから取り込み。AutoRace.JP投票杯オトもっちカップ / 4/30～5/2 10:25～16:55,山陽オートレース場の公式発表もあわせて確認してください。
auto-2026-05-02-3,auto,伊勢崎オートレース場,群馬県,14:30,20:50,,2026-05-02,https://autorace.jp/isesaki/,true,AutoRace.JP公式データから取り込み。第51回上毛新聞社杯 / 4/30～5/1 14:30～20:50 / 5/2 14:30～21:00,伊勢崎オートレース場の公式発表もあわせて確認してください。
auto-2026-05-02-6,auto,山陽オートレース場,山口県,10:25,16:55,,2026-05-02,https://autorace.jp/sanyou/,false,AutoRace.JP公式データから取り込み。AutoRace.JP投票杯オトもっちカップ / 4/30～5/2 10:25～16:55,山陽オートレース場の公式発表もあわせて確認してください。
auto-2026-05-03-6,auto,山陽オートレース場,山口県,21:00,23:30,,2026-05-03,https://autorace.jp/sanyou/,true,AutoRace.JP公式データから取り込み。おトクにＰＬＡＹ！オッズパーク杯山陽オーバーミッドナイトオートレース / 5/3～5/5 21:00～24:50,山陽オートレース場の公式発表もあわせて確認してください。
auto-2026-05-03-2,auto,川口オートレース場,埼玉県,10:30,16:55,,2026-05-03,https://autorace.jp/kawaguchi/,false,AutoRace.JP公式データから取り込み。川口市営第２回２節 / 5/3～5/4 10:30～16:55 / 5/5 10:30～17:00,川口オートレース場の公式発表もあわせて確認してください。
auto-2026-05-03-5,auto,飯塚オートレース場,福岡県,14:55,21:05,,2026-05-03,https://autorace.jp/iizuka/,true,AutoRace.JP公式データから取り込み。庄内のうどん王国杯争奪戦 / 5/3～5/5 14:55～21:05,飯塚オートレース場の公式発表もあわせて確認してください。
auto-2026-05-04-6,auto,山陽オートレース場,山口県,21:00,23:30,,2026-05-04,https://autorace.jp/sanyou/,true,AutoRace.JP公式データから取り込み。おトクにＰＬＡＹ！オッズパーク杯山陽オーバーミッドナイトオートレース / 5/3～5/5 21:00～24:50,山陽オートレース場の公式発表もあわせて確認してください。
auto-2026-05-04-2,auto,川口オートレース場,埼玉県,10:30,16:55,,2026-05-04,https://autorace.jp/kawaguchi/,false,AutoRace.JP公式データから取り込み。川口市営第２回２節 / 5/3～5/4 10:30～16:55 / 5/5 10:30～17:00,川口オートレース場の公式発表もあわせて確認してください。
auto-2026-05-04-5,auto,飯塚オートレース場,福岡県,14:55,21:05,,2026-05-04,https://autorace.jp/iizuka/,true,AutoRace.JP公式データから取り込み。庄内のうどん王国杯争奪戦 / 5/3～5/5 14:55～21:05,飯塚オートレース場の公式発表もあわせて確認してください。
auto-2026-05-05-6,auto,山陽オートレース場,山口県,21:00,23:30,,2026-05-05,https://autorace.jp/sanyou/,true,AutoRace.JP公式データから取り込み。おトクにＰＬＡＹ！オッズパーク杯山陽オーバーミッドナイトオートレース / 5/3～5/5 21:00～24:50,山陽オートレース場の公式発表もあわせて確認してください。
auto-2026-05-05-2,auto,川口オートレース場,埼玉県,10:30,16:55,,2026-05-05,https://autorace.jp/kawaguchi/,false,AutoRace.JP公式データから取り込み。川口市営第２回２節 / 5/3～5/4 10:30～16:55 / 5/5 10:30～17:00,川口オートレース場の公式発表もあわせて確認してください。
auto-2026-05-05-5,auto,飯塚オートレース場,福岡県,14:55,21:05,,2026-05-05,https://autorace.jp/iizuka/,true,AutoRace.JP公式データから取り込み。庄内のうどん王国杯争奪戦 / 5/3～5/5 14:55～21:05,飯塚オートレース場の公式発表もあわせて確認してください。
auto-2026-05-06-5,auto,飯塚オートレース場,福岡県,19:50,23:30,,2026-05-06,https://autorace.jp/iizuka/,true,AutoRace.JP公式データから取り込み。AutoRace.JP投票杯飯塚ミッドナイトオートレース～オトもっちカップ～ / 5/6～5/8 19:50～24:05,飯塚オートレース場の公式発表もあわせて確認してください。
auto-2026-05-06-4,auto,浜松オートレース場,静岡県,10:05,17:10,,2026-05-06,https://autorace.jp/hamamatsu/,false,AutoRace.JP公式データから取り込み。遠鉄グリーンカップGI開場７０周年記念ゴールデンレース / 5/6～5/9 10:05～17:10 / 5/10 10:05～17:20,浜松オートレース場の公式発表もあわせて確認してください。
auto-2026-05-07-5,auto,飯塚オートレース場,福岡県,19:50,23:30,,2026-05-07,https://autorace.jp/iizuka/,true,AutoRace.JP公式データから取り込み。AutoRace.JP投票杯飯塚ミッドナイトオートレース～オトもっちカップ～ / 5/6～5/8 19:50～24:05,飯塚オートレース場の公式発表もあわせて確認してください。
auto-2026-05-07-4,auto,浜松オートレース場,静岡県,10:05,17:10,,2026-05-07,https://autorace.jp/hamamatsu/,false,AutoRace.JP公式データから取り込み。遠鉄グリーンカップGI開場７０周年記念ゴールデンレース / 5/6～5/9 10:05～17:10 / 5/10 10:05～17:20,浜松オートレース場の公式発表もあわせて確認してください。
auto-2026-05-08-5,auto,飯塚オートレース場,福岡県,19:50,23:30,,2026-05-08,https://autorace.jp/iizuka/,true,AutoRace.JP公式データから取り込み。AutoRace.JP投票杯飯塚ミッドナイトオートレース～オトもっちカップ～ / 5/6～5/8 19:50～24:05,飯塚オートレース場の公式発表もあわせて確認してください。
auto-2026-05-08-4,auto,浜松オートレース場,静岡県,10:05,17:10,,2026-05-08,https://autorace.jp/hamamatsu/,false,AutoRace.JP公式データから取り込み。遠鉄グリーンカップGI開場７０周年記念ゴールデンレース / 5/6～5/9 10:05～17:10 / 5/10 10:05～17:20,浜松オートレース場の公式発表もあわせて確認してください。
auto-2026-05-09-2,auto,川口オートレース場,埼玉県,18:25,22:10,,2026-05-09,https://autorace.jp/kawaguchi/,true,AutoRace.JP公式データから取り込み。テレ玉presents　川口ナイトレース / 5/9～5/11 18:25～22:10,川口オートレース場の公式発表もあわせて確認してください。
