id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
boat-2026-06-01-11,boat,ボートレースびわこ,滋賀県,10:30,16:30,,2026-06-01,https://www.boatrace-biwako.jp/,false,BOAT RACE公式データから取り込み。デイリースポーツ杯争奪第４１回オールニッポン選抜戦 / 5/29-6/3 ４日目,ボートレースびわこの公式発表もあわせて確認してください。
boat-2026-06-01-19,boat,ボートレース下関,山口県,15:00,20:50,,2026-06-01,https://www.boatrace-shimonoseki.jp/,true,BOAT RACE公式データから取り込み。海響ドリームナイター９周年記念ＣＯＭＥ ＯＮ！ＦＭ / 6/1-6/5 初日,ボートレース下関の公式発表もあわせて確認してください。
boat-2026-06-01-01,boat,ボートレース桐生,群馬県,15:00,20:50,,2026-06-01,https://www.kiryu-kyotei.com/,true,BOAT RACE公式データから取り込み。第３３回桐生タイムス杯 / 5/28-6/1 最終日,ボートレース桐生の公式発表もあわせて確認してください。
boat-2026-06-01-20,boat,ボートレース若松,福岡県,15:00,20:50,,2026-06-01,https://www.wmb.jp/,true,BOAT RACE公式データから取り込み。にっぽん未来プロジェクト競走ｉｎ若松 / 5/31-6/5 ２日目,ボートレース若松の公式発表もあわせて確認してください。
boat-2026-06-01-12,boat,ボートレース住之江,大阪府,15:00,20:50,,2026-06-01,https://www.boatrace-suminoe.jp/,true,BOAT RACE公式データから取り込み。守口市制８０周年記念競走 / 5/30-6/3 ３日目,ボートレース住之江の公式発表もあわせて確認してください。
boat-2026-06-01-08,boat,ボートレース常滑,愛知県,10:30,16:30,,2026-06-01,http://www.boatrace-tokoname.jp/,false,BOAT RACE公式データから取り込み。第９回愛知・名古屋アジア・アジアパラ大会協賛競走 / 5/27-6/1 最終日,ボートレース常滑の公式発表もあわせて確認してください。
boat-2026-06-01-05,boat,ボートレース多摩川,東京都,12:00,18:30,,2026-06-01,http://www.boatrace-tamagawa.com/,false,BOAT RACE公式データから取り込み。オールレディースリップルカップ / 5/30-6/4 ３日目,ボートレース多摩川の公式発表もあわせて確認してください。
boat-2026-06-01-24,boat,ボートレース大村,長崎県,17:00,23:30,,2026-06-01,http://omurakyotei.jp/index.php,true,BOAT RACE公式データから取り込み。ミッドナイトボートレースｉｎ大村 ２ / 6/1-6/4 初日,ボートレース大村の公式発表もあわせて確認してください。
boat-2026-06-01-09,boat,ボートレース津,三重県,10:30,16:30,,2026-06-01,http://www.boatrace-tsu.com/,false,BOAT RACE公式データから取り込み。津マスターズリーグ第１戦 / 5/29-6/3 ４日目,ボートレース津の公式発表もあわせて確認してください。
boat-2026-06-01-23,boat,ボートレース唐津,佐賀県,08:30,14:30,,2026-06-01,http://www.boatrace-karatsu.jp/,false,BOAT RACE公式データから取り込み。第１３回見帰りの滝あじさいカップ / 5/29-6/2 ４日目,ボートレース唐津の公式発表もあわせて確認してください。
